numeric_code,iso_code,country,year,human_development_groups,hdi_rank_2021,undp_developing_regions,least_devpd_country,landlock_deving_country,small_island_deving_country,population,gdp,happiness_index,gini_index,income_group,happiness_index_rank_62,co2_per_capita,consumption_co2_per_capita,material_footprint_per_capita,energy_per_capita,renewables_consumption,temperature_change_from_co2,share_global_co2,land_use_change_co2_per_capita,continent,sub_continent_un,hemisphere,latitude,longitude
36,AUS,Australia,2019,Very High,5,NOTAPPLICABLE,False,False,False,25482714,1255505542015.0,7.228,34.05,High income,9,16.283,15.055,46.82,65938.531,140.546,0.014,1.119,1.538,Oceania,Australia and New Zealand,Southern Hemisphere,-27.0,133.0
36,AUS,Australia,2020,Very High,5,NOTAPPLICABLE,False,False,False,25743787,1232259790388.0,7.223,33.8,High income,10,15.481,14.541,46.82,61584.258,162.166,0.014,1.134,3.649,Oceania,Australia and New Zealand,Southern Hemisphere,-27.0,133.0
36,AUS,Australia,2021,Very High,5,NOTAPPLICABLE,False,False,False,25956417,1296705194119.0,7.183,33.8,High income,9,14.966,13.99,46.82,61230.445,193.787,0.014,1.054,2.229,Oceania,Australia and New Zealand,Southern Hemisphere,-27.0,133.0
40,AUT,Austria,2013,Very High,25,NOTAPPLICABLE,False,False,False,8481411,352182904722.0,7.369,30.8,High income,8,7.989,10.749,27.32,48441.508,137.063,0.002,0.192,0.001,Europe,Western Europe,Northern Hemisphere,47.3333,13.3333
40,AUT,Austria,2014,Very High,25,NOTAPPLICABLE,False,False,False,8547812,354511819035.0,7.2844999999999995,30.5,High income,10,7.506,10.761,27.48,46197.699,135.54,0.002,0.181,-0.005,Europe,Western Europe,Northern Hemisphere,47.3333,13.3333
40,AUT,Austria,2015,Very High,25,NOTAPPLICABLE,False,False,False,8644037,358108266932.0,7.2,30.5,High income,10,7.677,10.082,26.4,45856.262,128.618,0.002,0.187,-0.08,Europe,Western Europe,Northern Hemisphere,47.3333,13.3333
40,AUT,Austria,2016,Very High,25,NOTAPPLICABLE,False,False,False,8737920,365232738553.0,7.119,30.8,High income,10,7.693,10.155,26.89,46881.992,136.689,0.002,0.19,-0.118,Europe,Western Europe,Northern Hemisphere,47.3333,13.3333
40,AUT,Austria,2017,Very High,25,NOTAPPLICABLE,False,False,False,8798779,373481694490.0,7.006,29.7,High income,10,7.91,10.071,25.62,47457.57,136.104,0.002,0.193,-0.078,Europe,Western Europe,Northern Hemisphere,47.3333,13.3333
40,AUT,Austria,2018,Very High,25,NOTAPPLICABLE,False,False,False,8841653,382540042762.0,7.139,30.8,High income,10,7.529,10.007,25.39,46190.699,132.866,0.002,0.181,-0.044,Europe,Western Europe,Northern Hemisphere,47.3333,13.3333
40,AUT,Austria,2019,Very High,25,NOTAPPLICABLE,False,False,False,8880876,388344674039.0,7.246,30.2,High income,8,7.651,9.753,24.62,48188.984,143.464,0.002,0.183,-0.078,Europe,Western Europe,Northern Hemisphere,47.3333,13.3333
