numeric_code,iso_code,country,year,human_development_groups,hdi_rank_2021,undp_developing_regions,least_devpd_country,landlock_deving_country,small_island_deving_country,population,gdp,happiness_index,gini_index,income_group,happiness_index_rank_62,co2_per_capita,consumption_co2_per_capita,material_footprint_per_capita,energy_per_capita,renewables_consumption,temperature_change_from_co2,share_global_co2,land_use_change_co2_per_capita,continent,sub_continent_un,hemisphere,latitude,longitude,co2_consumption_production_gap,co2_consumption_production_ratio,happiness_per_co2,happiness_per_consumption_co2,happiness_per_material_footprint,happiness_per_1000_energy,inequality_adjusted_happiness,ineq_adj_happiness_per_co2,ineq_adj_happiness_per_consumption_co2,ineq_adj_happiness_per_material_footprint,ineq_adj_happiness_per_1000_energy,co2_per_1000_energy,material_footprint_per_1000_energy,happiness_percentile_by_year,consumption_co2_percentile_by_year,material_footprint_percentile_by_year,high_happiness_lower_consumption_co2,high_happiness_lower_material_footprint
156,CHN,China,2018,High,79,EAP,False,False,False,1419008954,22294284747546.0,5.246,38.5,Upper middle income,53,7.292,6.655,21.34,27068.061,4659.087,0.125,28.167,-0.125,Asia,Eastern Asia,Northern Hemisphere,35.0,105.0,-0.637,0.913,0.719,0.788,0.246,0.194,3.226,0.442,0.485,0.151,0.119,0.269,0.788,0.161,0.419,0.613,False,False
156,CHN,China,2019,High,79,EAP,False,False,False,1423520357,23631941251482.0,5.191,38.2,Upper middle income,54,7.526,6.861,21.96,28231.928,5096.059,0.129,28.888,-0.163,Asia,Eastern Asia,Northern Hemisphere,35.0,105.0,-0.665,0.912,0.69,0.757,0.236,0.184,3.208,0.426,0.468,0.146,0.114,0.267,0.778,0.145,0.452,0.629,False,False
156,CHN,China,2020,High,79,EAP,False,False,False,1426106093,24151843898871.0,5.124,37.1,Upper middle income,54,7.641,6.871,21.96,29095.936,5511.566,0.134,30.993,-0.185,Asia,Eastern Asia,Northern Hemisphere,35.0,105.0,-0.77,0.899,0.671,0.746,0.233,0.176,3.223,0.422,0.469,0.147,0.111,0.263,0.755,0.145,0.516,0.629,False,False
156,CHN,China,2021,High,79,EAP,False,False,False,1426437269,26180600167672.0,5.339,35.7,Upper middle income,52,7.911,7.072,21.96,30738.947,6170.007,0.139,30.609,-0.202,Asia,Eastern Asia,Northern Hemisphere,35.0,105.0,-0.839,0.894,0.675,0.755,0.243,0.174,3.433,0.434,0.485,0.156,0.112,0.257,0.714,0.177,0.484,0.629,False,False
170,COL,Colombia,2013,High,88,LAC,False,False,False,46151583,569534665242.0,6.416,53.5,Upper middle income,25,1.873,2.262,9.84,10509.707,125.422,0.01,0.245,2.9,America,Latin America and the Caribbean,Northern Hemisphere,4.0,-72.0,0.389,1.208,3.426,2.836,0.652,0.61,2.983,1.593,1.319,0.303,0.284,0.178,0.936,0.613,0.145,0.177,False,False
170,COL,Colombia,2014,High,88,LAC,False,False,False,46565426,595158021031.0,6.446,53.6,Upper middle income,24,1.977,2.43,10.2,10964.914,127.322,0.01,0.26,2.028,America,Latin America and the Caribbean,Northern Hemisphere,4.0,-72.0,0.453,1.229,3.26,2.653,0.632,0.588,2.991,1.513,1.231,0.293,0.273,0.18,0.93,0.629,0.145,0.242,False,False
170,COL,Colombia,2015,High,88,LAC,False,False,False,46969938,612750891790.0,6.477,52.0,Upper middle income,25,1.938,2.303,9.69,10738.822,126.972,0.01,0.257,1.713,America,Latin America and the Caribbean,Northern Hemisphere,4.0,-72.0,0.365,1.188,3.342,2.812,0.668,0.603,3.109,1.604,1.35,0.321,0.29,0.18,0.902,0.613,0.145,0.226,False,False
170,COL,Colombia,2016,High,88,LAC,False,False,False,47437513,625545111723.0,6.481,51.7,Upper middle income,23,1.931,2.271,9.37,11569.512,131.799,0.01,0.259,0.971,America,Latin America and the Caribbean,Northern Hemisphere,4.0,-72.0,0.34,1.176,3.356,2.854,0.692,0.56,3.13,1.621,1.378,0.334,0.271,0.167,0.81,0.645,0.145,0.226,False,False
170,COL,Colombia,2017,High,88,LAC,False,False,False,48131076,634046295892.0,6.357,50.9,Upper middle income,27,1.734,2.06,9.0,11535.692,157.133,0.01,0.232,3.038,America,Latin America and the Caribbean,Northern Hemisphere,4.0,-72.0,0.326,1.188,3.666,3.086,0.706,0.551,3.121,1.8,1.515,0.347,0.271,0.15,0.78,0.581,0.113,0.194,False,False
170,COL,Colombia,2018,High,88,LAC,False,False,False,49024463,650303209362.0,6.26,51.6,Upper middle income,27,1.852,2.169,8.81,11652.967,156.891,0.01,0.247,2.331,America,Latin America and the Caribbean,Northern Hemisphere,4.0,-72.0,0.317,1.171,3.38,2.886,0.711,0.537,3.03,1.636,1.397,0.344,0.26,0.159,0.756,0.581,0.113,0.194,False,False
170,COL,Colombia,2019,High,88,LAC,False,False,False,49907987,671028388046.0,6.125,52.5,Upper middle income,29,1.983,2.253,9.09,11495.876,151.111,0.011,0.267,1.308,America,Latin America and the Caribbean,Northern Hemisphere,4.0,-72.0,0.27,1.136,3.089,2.719,0.674,0.533,2.909,1.467,1.291,0.32,0.253,0.172,0.791,0.548,0.113,0.194,False,False
170,COL,Colombia,2020,High,88,LAC,False,False,False,50629997,622365414246.0,6.163,54.4,Upper middle income,30,1.823,2.084,9.09,10227.39,138.213,0.011,0.263,0.632,America,Latin America and the Caribbean,Northern Hemisphere,4.0,-72.0,0.261,1.143,3.381,2.957,0.678,0.603,2.81,1.541,1.348,0.309,0.275,0.178,0.889,0.532,0.113,0.194,False,False
170,COL,Colombia,2021,High,88,LAC,False,False,False,51188174,690925195330.0,6.012,55.1,Upper middle income,35,2.027,2.285,9.09,11053.629,165.042,0.011,0.281,0.228,America,Latin America and the Caribbean,Northern Hemisphere,4.0,-72.0,0.258,1.127,2.966,2.631,0.661,0.544,2.699,1.332,1.181,0.297,0.244,0.183,0.822,0.452,0.161,0.194,False,False
196,CYP,Cyprus,2013,Very High,29,NOTAPPLICABLE,False,False,False,1183899,24918237857.0,6.466,37.0,High income,24,5.556,6.44,31.5,23885.867,1.039,0.0,0.019,-1.604,Asia,Western Asia,Northern Hemisphere,35.0,33.0,0.884,1.159,1.164,1.004,0.205,0.271,4.074,0.733,0.633,0.129,0.171,0.233,1.319,0.629,0.435,0.823,False,False
196,CYP,Cyprus,2014,Very High,29,NOTAPPLICABLE,False,False,False,1201806,24475580582.0,6.078,35.6,High income,29,5.766,7.003,32.15,23543.232,0.952,0.0,0.02,0.53,Asia,Western Asia,Northern Hemisphere,35.0,33.0,1.237,1.215,1.054,0.868,0.189,0.258,3.914,0.679,0.559,0.122,0.166,0.245,1.366,0.548,0.5,0.806,False,False
196,CYP,Cyprus,2015,Very High,29,NOTAPPLICABLE,False,False,False,1219504,25312505108.0,5.689,34.0,High income,42,5.701,6.655,32.32,23931.43,1.155,0.0,0.02,-1.09,Asia,Western Asia,Northern Hemisphere,35.0,33.0,0.954,1.167,0.998,0.855,0.176,0.238,3.755,0.659,0.564,0.116,0.157,0.238,1.351,0.339,0.452,0.823,False,False
196,CYP,Cyprus,2016,Very High,29,NOTAPPLICABLE,False,False,False,1237114,26976335005.0,5.546,32.9,High income,42,5.941,7.166,37.77,25654.014,1.202,0.0,0.021,0.085,Asia,Western Asia,Northern Hemisphere,35.0,33.0,1.225,1.206,0.934,0.774,0.147,0.216,3.721,0.626,0.519,0.099,0.145,0.232,1.472,0.339,0.532,0.855,False,False
196,CYP,Cyprus,2017,Very High,29,NOTAPPLICABLE,False,False,False,1254274,28523085691.0,5.621,31.4,High income,42,5.955,7.667,39.0,25987.689,1.22,0.0,0.021,0.493,Asia,Western Asia,Northern Hemisphere,35.0,33.0,1.712,1.287,0.944,0.733,0.144,0.216,3.856,0.648,0.503,0.099,0.148,0.229,1.501,0.339,0.581,0.903,False,False
196,CYP,Cyprus,2018,Very High,29,NOTAPPLICABLE,False,False,False,1270743,30134014224.0,5.762,32.7,High income,41,5.764,7.428,33.71,25545.797,1.29,0.0,0.02,-0.621,Asia,Western Asia,Northern Hemisphere,35.0,33.0,1.664,1.289,1.0,0.776,0.171,0.226,3.878,0.673,0.522,0.115,0.152,0.226,1.32,0.355,0.484,0.839,False,False
196,CYP,Cyprus,2019,Very High,29,NOTAPPLICABLE,False,False,False,1286669,31800247242.0,6.046,31.2,High income,33,5.693,7.193,36.58,25253.969,1.437,0.0,0.02,-0.624,Asia,Western Asia,Northern Hemisphere,35.0,33.0,1.5,1.263,1.062,0.841,0.165,0.239,4.16,0.731,0.578,0.114,0.165,0.225,1.448,0.484,0.516,0.871,False,False
