Entity,Year,"12.2.1 - Material footprint per capita, by type of raw material (tonnes) - EN_MAT_FTPRPC"
World,2000,9.34
World,2001,9.36
World,2002,9.43
World,2003,9.69
World,2004,10.09
World,2005,10.34
World,2006,10.68
World,2007,10.97
World,2008,10.99
World,2009,10.91
World,2010,11.39
World,2011,11.96
World,2012,12.19
World,2013,12.48
World,2014,12.52
World,2015,12.35
World,2016,12.36
World,2017,12.32
World,2018,12.29
World,2019,11.75
World,2020,12
World,2021,12.27
World,2022,12.28
